name,brand,opening_hours,lat,lon,city,state,customer_id,segment,warehouse
Walmart Supercenter,Walmart,,19.3064706,-99.1872597,Tlalpan,Mexico City,0253764527,gold,CEDI-09 · Puebla
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-23:00",19.3717405,-99.1762739,Colonia del Valle,Mexico City,0637674556,silver,CEDI-09 · Puebla
Walmart,Walmart,,19.3382162,-99.1841616,Coyoacan,Mexico City,0156176341,bronze,CEDI-09 · Puebla
Walmart Express,Walmart,,19.3212772,-99.2215349,Magdalena Contreras,Mexico City,0452082293,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-22:00",19.369736,-99.193947,Alvaro Obregon,Mexico City,0251379500,gold,CEDI-09 · Puebla
Walmart Express,Walmart,,19.4222264,-99.2374153,Polanco,Mexico City,0572565073,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,19.3686146,-99.1641869,Colonia del Valle,Mexico City,0719628965,silver,CEDI-09 · Puebla
Walmart Express,Walmart,,19.3559387,-99.2767026,Cuajimalpa,Mexico City,0451790607,gold,CEDI-09 · Puebla
Walmart,Walmart,Mo-Su 07:00-23:00,20.6154935,-100.3975719,Santiago de Queretaro,Queretaro,0377586315,bronze,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,24.0365014,-104.6533742,Victoria de Durango,Durango,0021407593,silver,CEDI-06 · Victoria de Durango
Walmart Supercenter,Walmart,,19.3179305,-99.1255283,Coyoacan,Mexico City,0030465279,silver,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,19.2930643,-99.1237177,Xochimilco,Mexico City,0852374383,bronze,CEDI-09 · Puebla
Walmart Supercenter,Walmart,,22.1373898,-101.0027833,San Luis Potosi,San Luis Potosi,0007712329,silver,CEDI-10 · Santiago de Queretaro
Walmart,Walmart,,32.6575971,-115.41412,Mexicali,Baja California,0269375520,gold,CEDI-04 · San Luis
Walmart Express,Walmart,,19.3048072,-99.2209769,Magdalena Contreras,Mexico City,0014117183,gold,CEDI-09 · Puebla
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.3445301,-99.1561411,Coyoacan,Mexico City,0772910230,silver,CEDI-09 · Puebla
Walmart Express,Walmart,,19.342515,-99.2482174,Magdalena Contreras,Mexico City,0258314143,gold,CEDI-09 · Puebla
Walmart,Walmart,,20.6293167,-87.0762127,Playa del Carmen,Quintana Roo,0019247001,gold,CEDI-03 · Merida
Walmart,Walmart,Mo-Su 08:30-20:00,18.1398778,-94.4716734,Coatzacoalcos,Veracruz,0908628099,silver,CEDI-07 · Villahermosa
Walmart Express,Walmart,Mo-Su 07:00-00:00,19.3581589,-99.1519554,Coyoacan,Mexico City,0809538569,silver,CEDI-09 · Puebla
Walmart,Walmart,,25.4246006,-100.9803516,Saltillo,Coahuila,0893797624,bronze,CEDI-12 · Guadalupe
Walmart,Walmart,,25.7224207,-100.2206661,Guadalupe,Nuevo Leon,0193528510,bronze,CEDI-12 · Guadalupe
Walmart,Walmart,Mo-Su 07:00-22:00,19.0449581,-98.2369646,Puebla,Puebla,0507559082,gold,CEDI-09 · Puebla
Walmart,Walmart,,19.05795,-98.2239308,Puebla,Puebla,0486443275,gold,CEDI-09 · Puebla
Walmart Express,Walmart,,21.9249095,-102.3172616,Pocitos,Aguascalientes,0423224344,gold,CEDI-10 · Santiago de Queretaro
Walmart Miguel Alemán,Walmart,,25.6910492,-100.239978,Guadalupe,Nuevo Leon,0849205672,gold,CEDI-12 · Guadalupe
Walmart Express,Walmart,,19.3838955,-99.1771782,Colonia del Valle,Mexico City,0658961457,gold,CEDI-09 · Puebla
