name,brand,opening_hours,lat,lon,city,state,warehouse_id,customer_id,segment,geofence_radius_m
Walmart Supercenter,Walmart,,19.3064706,-99.1872597,Tlalpan,Mexico City,CED001,0478500758,silver,150
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-23:00",19.3717405,-99.1762739,Colonia del Valle,Mexico City,CED001,0435233370,gold,150
Walmart,Walmart,,19.3382162,-99.1841616,Coyoacan,Mexico City,CED001,0622236690,gold,150
Walmart Express,Walmart,,19.3212772,-99.2215349,Magdalena Contreras,Mexico City,CED001,0056415154,bronze,150
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-22:00",19.369736,-99.193947,Alvaro Obregon,Mexico City,CED001,0949807842,silver,150
Walmart Express,Walmart,,19.4222264,-99.2374153,Polanco,Mexico City,CED001,0332005651,gold,150
Walmart Supercenter,Walmart,,19.3686146,-99.1641869,Colonia del Valle,Mexico City,CED001,0013830441,gold,150
Walmart Express,Walmart,,19.3559387,-99.2767026,Cuajimalpa,Mexico City,CED001,0511459787,gold,150
Walmart,Walmart,Mo-Su 07:00-23:00,20.6154935,-100.3975719,Santiago de Queretaro,Queretaro,CED001,0447118670,bronze,150
Walmart,Walmart,,24.0365014,-104.6533742,Victoria de Durango,Durango,CED002,0894676279,silver,150
Walmart Supercenter,Walmart,,19.3179305,-99.1255283,Coyoacan,Mexico City,CED001,0669057728,silver,150
Walmart Supercenter,Walmart,,19.2930643,-99.1237177,Xochimilco,Mexico City,CED001,0945721156,bronze,150
Walmart Supercenter,Walmart,,22.1373898,-101.0027833,San Luis Potosi,San Luis Potosi,CED001,0705996461,silver,150
Walmart,Walmart,,32.6575971,-115.41412,Mexicali,Baja California,CED002,0187060314,silver,150
Walmart Express,Walmart,,19.3048072,-99.2209769,Magdalena Contreras,Mexico City,CED001,0862530520,bronze,150
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.3445301,-99.1561411,Coyoacan,Mexico City,CED001,0022032074,bronze,150
Walmart Express,Walmart,,19.342515,-99.2482174,Magdalena Contreras,Mexico City,CED001,0753006348,bronze,150
Walmart,Walmart,,20.6293167,-87.0762127,Playa del Carmen,Quintana Roo,CED003,0668643940,bronze,150
Walmart,Walmart,Mo-Su 08:30-20:00,18.1398778,-94.4716734,Coatzacoalcos,Veracruz,CED001,0480654908,bronze,150
Walmart Express,Walmart,Mo-Su 07:00-00:00,19.3581589,-99.1519554,Coyoacan,Mexico City,CED001,0852693492,silver,150
Walmart,Walmart,,25.4246006,-100.9803516,Saltillo,Coahuila,CED002,0378831782,bronze,150
Walmart,Walmart,,25.7224207,-100.2206661,Guadalupe,Nuevo Leon,CED002,0257289946,bronze,150
Walmart,Walmart,Mo-Su 07:00-22:00,19.0449581,-98.2369646,Puebla,Puebla,CED001,0220048969,silver,150
Walmart,Walmart,,19.05795,-98.2239308,Puebla,Puebla,CED001,0890775331,gold,150
Walmart Express,Walmart,,21.9249095,-102.3172616,Pocitos,Aguascalientes,CED001,0133176705,silver,150
Walmart Miguel Alemán,Walmart,,25.6910492,-100.239978,Guadalupe,Nuevo Leon,CED002,0195571073,silver,150
Walmart Express,Walmart,,19.3838955,-99.1771782,Colonia del Valle,Mexico City,CED001,0819121409,bronze,150
Walmart,Walmart,,25.615883,-100.2742737,Guadalupe,Nuevo Leon,CED002,0893460088,bronze,150
Walmart Supercenter,Walmart,,20.2965952,-103.2444493,Ajijic,Jalisco,CED001,0637543333,silver,150
Walmart,Walmart,,20.6645714,-103.3483555,Guadalajara,Jalisco,CED001,0111221812,bronze,150
Walmart Supercenter,Walmart,,19.4435046,-99.1531236,Cuauhtemoc,Mexico City,CED001,0592090894,silver,150
Walmart,Walmart,,19.5418447,-96.9073705,Xalapa de Enriquez,Veracruz,CED001,0635982918,bronze,150
Walmart,Walmart,,19.1565412,-96.1123401,Veracruz,Veracruz,CED001,0007702790,bronze,150
Walmart Express,Walmart,,20.6425974,-103.4145573,Guadalajara,Jalisco,CED001,0399711620,bronze,150
Walmart,Walmart,,25.7307317,-100.369774,San Nicolas de los Garza,Nuevo Leon,CED002,0811034319,silver,150
Walmart Supercenter,Walmart,,25.6731942,-100.2024322,Jardines de la Silla (Jardines),Nuevo Leon,CED002,0831873180,bronze,150
Walmart,Walmart,,25.766053,-100.3172532,San Nicolas de los Garza,Nuevo Leon,CED002,0314187095,gold,150
Walmart,Walmart,,19.4253702,-99.0289726,Colonia Gustavo Baz Prada,Mexico,CED001,0326038085,gold,150
Walmart,Walmart,,28.6344662,-106.119385,Chihuahua,Chihuahua,CED002,0675285155,bronze,150
Walmart Supercenter,Walmart,,19.2573498,-103.7205064,Colima,Colima,CED001,0411499376,gold,150
Walmart,Walmart,,27.5167106,-109.9285698,Ciudad Obregon,Sonora,CED002,0403325049,silver,150
Estacionamiento Walmart,,,27.5154582,-109.9286771,Ciudad Obregon,Sonora,CED002,0250050099,bronze,150
Walmart Supercenter,Walmart,,19.530975,-99.1562374,Tlalnepantla,Mexico,CED001,0560714390,silver,150
Walmart Supercenter,Walmart,,19.30805,-99.0596829,Iztapalapa,Mexico City,CED001,0430412171,silver,150
Walmart,Walmart,,20.6487559,-103.3100069,Tlaquepaque,Jalisco,CED001,0398544080,bronze,150
Walmart Express,Walmart,,19.4348713,-99.1858689,Miguel Hidalgo,Mexico City,CED001,0992444161,bronze,150
Walmart Express,Walmart,,19.4339538,-99.1900816,Miguel Hidalgo,Mexico City,CED001,0989273130,silver,150
Walmart,Walmart,,20.6666951,-103.4098868,Guadalajara,Jalisco,CED001,0796580669,gold,150
Walmart,Walmart,,22.1384368,-100.9348495,Soledad de Graciano Sanchez,San Luis Potosi,CED001,0002594057,silver,150
Walmart,Walmart,,22.7621373,-102.5509176,Zacatecas,Zacatecas,CED001,0712388983,bronze,150
Walmart,Walmart,,21.161556,-101.6908499,Leon,Guanajuato,CED001,0938038923,silver,150
Walmart,Walmart,,22.2303439,-97.8677321,Tampico,Tamaulipas,CED002,0310993402,bronze,150
Walmart,Walmart,,22.297356,-97.879949,Tampico,Tamaulipas,CED002,0347342222,gold,150
Walmart,Walmart,,19.5089047,-96.8818018,Colonia Santa Barbara,Veracruz,CED001,0834550638,silver,150
Walmart CEDIS Guadalajara,,,20.4930888,-103.2720167,La Alameda,Jalisco,CED001,0687359742,silver,150
Walmart,Walmart,,20.5341685,-100.7968926,Celaya,Guanajuato,CED001,0968719988,gold,150
Walmart Supercenter,Walmart,,19.4055036,-99.2737331,Naucalpan de Juarez,Mexico,CED001,0996279391,bronze,150
Walmart Río Sonora,Walmart,,29.06765,-110.9684122,Hermosillo,Sonora,CED002,0746473654,silver,150
Walmart Supercenter,Walmart,,19.2385462,-103.7155281,Colima,Colima,CED001,0686401947,silver,150
Walmart,Walmart,,20.6838255,-101.3666549,Irapuato,Guanajuato,CED001,0657293193,silver,150
