name,brand,opening_hours,lat,lon,city,state,customer_id,segment,geofence_radius_m,warehouse_code
Walmart Supercenter,Walmart,,19.3064706,-99.1872597,Tlalpan,Mexico City,0595573489,silver,150,CEDI-04
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-23:00",19.3717405,-99.1762739,Colonia del Valle,Mexico City,0110887158,gold,150,CEDI-04
Walmart,Walmart,,19.3382162,-99.1841616,Coyoacan,Mexico City,0028556970,silver,150,CEDI-04
Walmart Express,Walmart,,19.3212772,-99.2215349,Magdalena Contreras,Mexico City,0416084147,silver,150,CEDI-04
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-22:00",19.369736,-99.193947,Alvaro Obregon,Mexico City,0158283570,silver,150,CEDI-04
Walmart Express,Walmart,,19.4222264,-99.2374153,Polanco,Mexico City,0456152953,silver,150,CEDI-04
Walmart Supercenter,Walmart,,19.3686146,-99.1641869,Colonia del Valle,Mexico City,0703786331,silver,150,CEDI-04
Walmart Express,Walmart,,19.3559387,-99.2767026,Cuajimalpa,Mexico City,0450128169,silver,150,CEDI-04
Walmart,Walmart,Mo-Su 07:00-23:00,20.6154935,-100.3975719,Santiago de Queretaro,Queretaro,0292450588,silver,150,CEDI-01
Walmart,Walmart,,24.0365014,-104.6533742,Victoria de Durango,Durango,0748389653,silver,150,CEDI-11
Walmart Supercenter,Walmart,,19.3179305,-99.1255283,Coyoacan,Mexico City,0203945407,bronze,150,CEDI-04
Walmart Supercenter,Walmart,,19.2930643,-99.1237177,Xochimilco,Mexico City,0444315824,bronze,150,CEDI-04
Walmart Supercenter,Walmart,,22.1373898,-101.0027833,San Luis Potosi,San Luis Potosi,0696475097,bronze,150,CEDI-01
Walmart,Walmart,,32.6575971,-115.41412,Mexicali,Baja California,0664301382,silver,150,CEDI-05
Walmart Express,Walmart,,19.3048072,-99.2209769,Magdalena Contreras,Mexico City,0078970760,silver,150,CEDI-04
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.3445301,-99.1561411,Coyoacan,Mexico City,0062797918,bronze,150,CEDI-04
Walmart Express,Walmart,,19.342515,-99.2482174,Magdalena Contreras,Mexico City,0720242863,silver,150,CEDI-04
Walmart,Walmart,,20.6293167,-87.0762127,Playa del Carmen,Quintana Roo,0304683163,gold,150,CEDI-06
Walmart,Walmart,Mo-Su 08:30-20:00,18.1398778,-94.4716734,Coatzacoalcos,Veracruz,0859917447,silver,150,CEDI-03
Walmart Express,Walmart,Mo-Su 07:00-00:00,19.3581589,-99.1519554,Coyoacan,Mexico City,0810477955,bronze,150,CEDI-04
Walmart,Walmart,,25.4246006,-100.9803516,Saltillo,Coahuila,0140885679,bronze,150,CEDI-07
Walmart,Walmart,,25.7224207,-100.2206661,Guadalupe,Nuevo Leon,0305557973,silver,150,CEDI-07
Walmart,Walmart,Mo-Su 07:00-22:00,19.0449581,-98.2369646,Puebla,Puebla,0519184029,gold,150,CEDI-04
Walmart,Walmart,,19.05795,-98.2239308,Puebla,Puebla,0168369115,silver,150,CEDI-04
Walmart Express,Walmart,,21.9249095,-102.3172616,Pocitos,Aguascalientes,0031004043,bronze,150,CEDI-01
Walmart Miguel Alemán,Walmart,,25.6910492,-100.239978,Guadalupe,Nuevo Leon,0380031231,silver,150,CEDI-07
Walmart Express,Walmart,,19.3838955,-99.1771782,Colonia del Valle,Mexico City,0063099308,silver,150,CEDI-04
Walmart,Walmart,,25.615883,-100.2742737,Guadalupe,Nuevo Leon,0326169287,silver,150,CEDI-07
Walmart Supercenter,Walmart,,20.2965952,-103.2444493,Ajijic,Jalisco,0617859641,silver,150,CEDI-08
Walmart,Walmart,,20.6645714,-103.3483555,Guadalajara,Jalisco,0868913638,silver,150,CEDI-08
Walmart Supercenter,Walmart,,19.4435046,-99.1531236,Cuauhtemoc,Mexico City,0533065722,silver,150,CEDI-04
Walmart,Walmart,,19.5418447,-96.9073705,Xalapa de Enriquez,Veracruz,0695207553,silver,150,CEDI-12
Walmart,Walmart,,19.1565412,-96.1123401,Veracruz,Veracruz,0619900153,bronze,150,CEDI-12
Walmart Express,Walmart,,20.6425974,-103.4145573,Guadalajara,Jalisco,0078690093,gold,150,CEDI-08
Walmart,Walmart,,25.7307317,-100.369774,San Nicolas de los Garza,Nuevo Leon,0784131341,gold,150,CEDI-07
Walmart Supercenter,Walmart,,25.6731942,-100.2024322,Jardines de la Silla (Jardines),Nuevo Leon,0379834345,silver,150,CEDI-07
Walmart,Walmart,,25.766053,-100.3172532,San Nicolas de los Garza,Nuevo Leon,0311799095,bronze,150,CEDI-07
Walmart,Walmart,,19.4253702,-99.0289726,Colonia Gustavo Baz Prada,Mexico,0928182805,bronze,150,CEDI-04
Walmart,Walmart,,28.6344662,-106.119385,Chihuahua,Chihuahua,0565506657,bronze,150,CEDI-09
Walmart Supercenter,Walmart,,19.2573498,-103.7205064,Colima,Colima,0835397301,gold,150,CEDI-08
Walmart,Walmart,,27.5167106,-109.9285698,Ciudad Obregon,Sonora,0117241282,gold,150,CEDI-02
Walmart Supercenter,Walmart,,19.530975,-99.1562374,Tlalnepantla,Mexico,0666599470,silver,150,CEDI-04
Walmart Supercenter,Walmart,,19.30805,-99.0596829,Iztapalapa,Mexico City,0703639071,bronze,150,CEDI-04
Walmart,Walmart,,20.6487559,-103.3100069,Tlaquepaque,Jalisco,0667626913,bronze,150,CEDI-08
Walmart Express,Walmart,,19.4348713,-99.1858689,Miguel Hidalgo,Mexico City,0981079976,bronze,150,CEDI-04
Walmart Express,Walmart,,19.4339538,-99.1900816,Miguel Hidalgo,Mexico City,0156270276,silver,150,CEDI-04
Walmart,Walmart,,20.6666951,-103.4098868,Guadalajara,Jalisco,0163554138,bronze,150,CEDI-08
Walmart,Walmart,,22.1384368,-100.9348495,Soledad de Graciano Sanchez,San Luis Potosi,0092006338,bronze,150,CEDI-01
Walmart Supercenter,Walmart,,22.1533514,-100.9547926,San Luis Potosi,San Luis Potosi,0796047564,gold,150,CEDI-01
Walmart,Walmart,,22.7621373,-102.5509176,Zacatecas,Zacatecas,0412236352,bronze,150,CEDI-01
Walmart,Walmart,,21.161556,-101.6908499,Leon,Guanajuato,0889908318,gold,150,CEDI-01
Walmart,Walmart,,22.2303439,-97.8677321,Tampico,Tamaulipas,0820091290,bronze,150,CEDI-13
Walmart,Walmart,,22.297356,-97.879949,Tampico,Tamaulipas,0648818924,silver,150,CEDI-13
Walmart,Walmart,,19.5089047,-96.8818018,Colonia Santa Barbara,Veracruz,0835876359,gold,150,CEDI-12
Walmart,Walmart,,20.5341685,-100.7968926,Celaya,Guanajuato,0938233078,silver,150,CEDI-01
Walmart Supercenter,Walmart,,19.4055036,-99.2737331,Naucalpan de Juarez,Mexico,0185220459,gold,150,CEDI-04
Walmart Río Sonora,Walmart,,29.06765,-110.9684122,Hermosillo,Sonora,0622294943,gold,150,CEDI-02
Walmart Supercenter,Walmart,,19.2385462,-103.7155281,Colima,Colima,0826781372,silver,150,CEDI-08
Walmart,Walmart,,20.6838255,-101.3666549,Irapuato,Guanajuato,0429556654,silver,150,CEDI-01
Walmart Culiacán,Walmart,,24.814762,-107.4092124,Culiacan,Sinaloa,0929142805,bronze,150,CEDI-10
