name,brand,opening_hours,lat,lon,city,state,customer_id,segment,geofence_radius_m,warehouse_code
Walmart Supercenter,Walmart,,19.3064706,-99.1872597,Tlalpan,Mexico City,0039339272,bronze,150,CEDI-10
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-23:00",19.3717405,-99.1762739,Colonia del Valle,Mexico City,0982665064,bronze,150,CEDI-10
Walmart,Walmart,,19.3382162,-99.1841616,Coyoacan,Mexico City,0530526084,bronze,150,CEDI-10
Walmart Express,Walmart,,19.3212772,-99.2215349,Magdalena Contreras,Mexico City,0908539468,silver,150,CEDI-10
Walmart Supercenter,Walmart,"Mo-Su,PH 07:00-22:00",19.369736,-99.193947,Alvaro Obregon,Mexico City,0384252364,silver,150,CEDI-10
Walmart Express,Walmart,,19.4222264,-99.2374153,Polanco,Mexico City,0741584749,gold,150,CEDI-10
Walmart Supercenter,Walmart,,19.3686146,-99.1641869,Colonia del Valle,Mexico City,0041838979,silver,150,CEDI-10
Walmart Express,Walmart,,19.3559387,-99.2767026,Cuajimalpa,Mexico City,0525768282,gold,150,CEDI-10
Walmart,Walmart,Mo-Su 07:00-23:00,20.6154935,-100.3975719,Santiago de Queretaro,Queretaro,0189793357,gold,150,CEDI-07
Walmart,Walmart,,24.0365014,-104.6533742,Victoria de Durango,Durango,0028656521,silver,150,CEDI-05
Walmart Supercenter,Walmart,,19.3179305,-99.1255283,Coyoacan,Mexico City,0971112586,bronze,150,CEDI-10
Walmart Supercenter,Walmart,,19.2930643,-99.1237177,Xochimilco,Mexico City,0538114910,silver,150,CEDI-10
Walmart Supercenter,Walmart,,22.1373898,-101.0027833,San Luis Potosi,San Luis Potosi,0432223703,bronze,150,CEDI-07
Walmart,Walmart,,32.6575971,-115.41412,Mexicali,Baja California,0349015227,silver,150,CEDI-04
Walmart Express,Walmart,,19.3048072,-99.2209769,Magdalena Contreras,Mexico City,0781787578,gold,150,CEDI-10
Walmart Express,Walmart,Mo-Su 07:00-23:00,19.3445301,-99.1561411,Coyoacan,Mexico City,0545183940,bronze,150,CEDI-10
Walmart Express,Walmart,,19.342515,-99.2482174,Magdalena Contreras,Mexico City,0008904447,bronze,150,CEDI-10
